iter	Passed	Remaining
344	1015	1927
345	1017	1923
346	1020	1920
347	1022	1916
348	1025	1912
349	1027	1908
350	1031	1906
351	1033	1903
352	1036	1899
353	1038	1895
354	1041	1891
355	1043	1888
356	1048	1887
357	1050	1884
358	1053	1880
359	1055	1876
360	1058	1873
361	1060	1869
362	1064	1868
363	1067	1864
364	1069	1860
365	1072	1857
366	1074	1853
367	1077	1849
368	1081	1849
369	1084	1845
370	1086	1842
371	1089	1838
372	1091	1834
373	1094	1831
374	1097	1829
375	1100	1826
376	1102	1822
377	1105	1818
378	1107	1815
379	1111	1812
380	1114	1810
381	1117	1807
382	1119	1804
383	1122	1800
384	1124	1796
385	1127	1793
386	1130	1791
387	1133	1787
388	1135	1784
389	1138	1780
390	1140	1776
391	1144	1774
392	1147	1772
393	1150	1769
394	1152	1765
395	1155	1761
396	1157	1758
397	1160	1754
398	1163	1752
399	1166	1749
400	1168	1745
401	1171	1742
402	1173	1738
403	1176	1735
404	1180	1733
405	1182	1730
406	1186	1728
407	1188	1724
408	1191	1721
409	1194	1718
410	1197	1715
411	1200	1712
412	1202	1709
413	1205	1705
414	1207	1702
415	1212	1701
416	1214	1698
417	1217	1694
418	1219	1691
419	1222	1687
420	1224	1684
421	1227	1680
422	1230	1678
423	1233	1675
424	1236	1672
425	1238	1668
426	1240	1665
427	1245	1664
428	1248	1661
429	1250	1658
430	1253	1654
431	1255	1651
432	1258	1647
433	1261	1645
434	1264	1642
435	1267	1639
436	1270	1636
437	1272	1632
438	1275	1629
439	1279	1628
440	1282	1625
441	1285	1622
442	1287	1619
443	1290	1615
444	1293	1613
445	1296	1611
446	1299	1607
447	1301	1604
448	1304	1600
449	1306	1597
450	1311	1596
451	1314	1593
452	1316	1589
453	1319	1586
454	1321	1583
455	1324	1579
456	1326	1576
457	1330	1574
458	1332	1570
459	1335	1567
460	1337	1564
461	1340	1560
462	1345	1560
463	1347	1556
464	1350	1553
465	1352	1549
466	1355	1546
467	1357	1543
468	1361	1541
469	1363	1537
470	1366	1534
471	1368	1531
472	1371	1527
473	1373	1524
474	1378	1523
475	1380	1519
476	1383	1516
477	1385	1513
478	1388	1509
479	1390	1506
480	1394	1504
481	1396	1501
482	1399	1497
483	1401	1494
484	1404	1491
485	1406	1487
486	1411	1486
487	1413	1483
488	1416	1479
489	1418	1476
490	1421	1473
491	1423	1469
492	1427	1467
493	1429	1464
494	1432	1461
495	1434	1457
496	1437	1454
497	1439	1451
498	1444	1449
499	1446	1446
500	1448	1443
501	1451	1439
502	1453	1436
503	1456	1433
504	1459	1430
505	1462	1427
506	1464	1424
507	1467	1421
508	1469	1417
509	1472	1414
510	1476	1413
511	1479	1410
512	1482	1406
513	1484	1403
514	1486	1400
515	1489	1397
516	1492	1394
517	1495	1391
518	1498	1388
519	1500	1385
520	1503	1381
521	1505	1378
522	1509	1376
523	1512	1373
524	1515	1371
525	1517	1367
526	1520	1364
527	1522	1361
528	1526	1358
529	1529	1356
530	1531	1352
531	1534	1349
532	1536	1346
533	1539	1343
534	1543	1341
535	1546	1338
536	1549	1335
537	1551	1332
538	1554	1329
539	1556	1326
540	1560	1323
541	1563	1321
542	1565	1317
543	1568	1314
544	1570	1311
545	1574	1308
546	1577	1306
547	1580	1303
548	1583	1300
549	1585	1297
550	1588	1294
551	1591	1291
552	1594	1289
553	1597	1285
554	1599	1282
555	1602	1279
556	1604	1276
557	1608	1274
558	1611	1271
559	1614	1268
560	1616	1265
561	1619	1261
562	1621	1258
563	1625	1256
564	1628	1253
565	1630	1250
566	1633	1247
567	1635	1244
568	1638	1240
569	1643	1239
570	1645	1236
571	1648	1233
572	1651	1230
573	1654	1227
574	1658	1225
575	1661	1222
576	1664	1219
577	1666	1217
578	1669	1214
579	1674	1212
580	1677	1209
581	1680	1206
582	1683	1203
583	1685	1200
584	1690	1199
585	1693	1196
586	1696	1193
587	1699	1190
588	1702	1187
589	1705	1184
590	1709	1183
591	1712	1180
592	1715	1177
593	1717	1174
594	1720	1171
595	1725	1169
596	1728	1166
597	1731	1163
598	1734	1160
599	1737	1158
600	1740	1155
601	1743	1152
602	1746	1149
603	1749	1147
604	1752	1143
605	1755	1141
606	1758	1138
607	1762	1136
608	1765	1133
609	1768	1130
610	1771	1127
611	1774	1125
612	1778	1122
613	1781	1119
614	1784	1116
615	1787	1114
616	1791	1112
617	1795	1109
618	1797	1106
619	1800	1103
620	1803	1100
621	1807	1098
622	1810	1095
623	1814	1093
624	1816	1090
625	1819	1087
626	1824	1085
627	1827	1082
628	1830	1079
629	1833	1076
630	1836	1074
631	1840	1071
632	1843	1068
633	1846	1065
634	1849	1062
635	1852	1059
636	1856	1058
637	1859	1055
638	1862	1052
639	1865	1049
640	1868	1046
641	1873	1044
642	1876	1041
643	1878	1038
644	1881	1035
645	1883	1032
646	1886	1029
647	1889	1026
648	1892	1023
649	1894	1020
650	1897	1017
651	1899	1014
652	1902	1010
653	1906	1008
654	1909	1005
655	1912	1002
656	1914	999
657	1917	996
658	1919	993
659	1924	991
660	1926	988
661	1929	985
662	1931	981
663	1934	978
664	1936	975
665	1940	973
666	1942	970
667	1945	966
668	1947	963
669	1950	960
670	1953	958
671	1957	955
672	1960	952
673	1962	949
674	1965	946
675	1967	943
676	1970	940
677	1973	937
678	1976	934
679	1978	931
680	1981	928
681	1983	924
682	1987	922
683	1990	919
684	1992	916
685	1995	913
686	1998	910
687	2000	907
688	2005	905
689	2008	902
690	2010	899
691	2013	896
692	2015	893
693	2018	889
694	2022	887
695	2025	884
696	2028	881
697	2030	878
698	2033	875
699	2035	872
700	2039	869
701	2042	866
702	2044	863
703	2047	860
704	2049	857
705	2054	855
706	2057	852
707	2059	849
708	2062	846
709	2064	843
710	2067	840
711	2071	837
712	2074	834
713	2077	831
714	2079	829
715	2082	826
716	2087	824
717	2090	821
718	2093	818
719	2096	815
720	2099	812
721	2102	809
722	2106	807
723	2109	804
724	2112	801
725	2115	798
726	2119	795
727	2122	793
728	2125	790
729	2128	787
730	2131	784
731	2134	781
732	2138	778
733	2141	775
734	2144	773
735	2146	770
736	2149	767
737	2154	765
738	2157	762
739	2160	759
740	2163	756
741	2166	753
742	2170	750
743	2173	747
744	2176	744
745	2179	741
746	2182	739
747	2186	736
748	2189	733
749	2192	730
750	2195	727
751	2198	725
752	2201	722
753	2205	719
754	2208	716
755	2211	713
756	2214	710
757	2218	708
758	2221	705
759	2224	702
760	2227	699
761	2230	696
762	2233	693
763	2237	691
764	2240	688
765	2243	685
766	2245	682
767	2248	679
768	2252	676
769	2255	673
770	2257	670
771	2260	667
772	2262	664
773	2265	661
774	2268	658
775	2271	655
776	2274	652
777	2276	649
778	2279	646
779	2281	643
780	2286	641
781	2289	638
782	2291	635
783	2294	632
784	2296	629
785	2299	626
786	2302	623
787	2305	620
788	2308	617
789	2310	614
790	2313	611
791	2317	608
792	2320	605
793	2323	602
794	2325	599
795	2328	596
796	2330	593
797	2333	590
798	2336	587
799	2339	584
800	2341	581
801	2344	578
802	2346	575
803	2351	573
804	2353	570
805	2356	567
806	2358	564
807	2361	561
808	2363	558
809	2366	555
810	2369	552
811	2372	549
812	2374	546
813	2377	543
814	2379	540
815	2383	537
816	2386	534
817	2389	531
818	2391	528
819	2394	525
820	2396	522
821	2399	519
822	2403	516
823	2405	513
824	2408	510
825	2410	507
826	2413	504
827	2417	502
828	2420	499
829	2422	496
830	2425	493
831	2427	490
832	2430	487
833	2434	484
834	2436	481
835	2439	478
836	2441	475
837	2444	472
838	2446	469
839	2449	466
840	2452	463
841	2455	460
842	2457	457
843	2460	454
844	2462	451
845	2467	449
846	2469	446
847	2472	443
848	2474	440
849	2477	437
850	2479	434
851	2484	431
852	2486	428
853	2489	425
854	2491	422
855	2494	419
856	2496	416
857	2500	413
858	2502	410
859	2505	407
860	2508	404
861	2510	401
862	2513	399
863	2517	396
864	2520	393
865	2523	390
866	2525	387
867	2528	384
868	2531	381
869	2534	378
870	2537	375
871	2540	372
872	2542	369
873	2545	366
874	2549	364
875	2551	361
876	2555	358
877	2557	355
878	2560	352
879	2562	349
880	2566	346
881	2569	343
882	2571	340
883	2574	337
884	2576	334
885	2579	331
886	2584	329
887	2586	326
888	2589	323
889	2591	320
890	2594	317
891	2596	314
892	2599	311
893	2603	308
894	2605	305
895	2608	302
896	2610	299
897	2614	296
898	2617	294
899	2620	291
900	2622	288
901	2625	285
902	2627	282
903	2631	279
904	2634	276
905	2636	273
906	2639	270
907	2641	267
908	2644	264
909	2648	261
910	2651	259
911	2653	256
912	2656	253
913	2658	250
914	2661	247
915	2664	244
916	2667	241
917	2670	238
918	2672	235
919	2675	232
920	2677	229
921	2682	226
922	2684	223
923	2687	221
924	2689	218
925	2692	215
926	2694	212
927	2698	209
928	2700	206
929	2703	203
930	2705	200
931	2708	197
932	2710	194
933	2715	191
934	2718	188
935	2720	186
936	2723	183
937	2725	180
938	2728	177
939	2732	174
940	2734	171
941	2737	168
942	2739	165
943	2742	162
944	2745	159
945	2749	156
946	2751	154
947	2754	151
948	2756	148
949	2759	145
950	2762	142
951	2766	139
952	2768	136
953	2771	133
954	2773	130
955	2775	127
956	2779	124
957	2783	122
958	2785	119
959	2788	116
960	2790	113
961	2792	110
962	2797	107
963	2800	104
964	2802	101
965	2804	98
966	2807	95
967	2809	92
968	2814	90
969	2816	87
970	2819	84
971	2821	81
972	2824	78
973	2826	75
974	2830	72
975	2833	69
976	2835	66
977	2837	63
978	2840	60
979	2842	58
980	2847	55
981	2850	52
982	2852	49
983	2855	46
984	2857	43
985	2860	40
986	2863	37
987	2866	34
988	2868	31
989	2871	29
990	2874	26
991	2876	23
992	2881	20
993	2884	17
994	2886	14
995	2889	11
996	2891	8
997	2896	5
998	2898	2
999	2901	0
