iter	Logloss
0	0.6889849939
1	0.6824888121
2	0.6808177889
3	0.6790013502
4	0.6769870692
5	0.6716127086
6	0.6698997647
7	0.6683272707
8	0.6670834511
9	0.665923891
10	0.6646604701
11	0.6584054103
12	0.6573947154
13	0.6565716703
14	0.6555040532
15	0.6544159463
16	0.6533874796
17	0.6472138567
18	0.6435548443
19	0.6400393657
20	0.6391046193
21	0.6383885187
22	0.6375155556
23	0.6368771284
24	0.6361071897
25	0.6355425157
26	0.6348464869
27	0.6321440175
28	0.6317251249
29	0.6284881936
30	0.6262791542
31	0.625689286
32	0.6239952116
33	0.6235995269
34	0.6231296709
35	0.6201009315
36	0.6187229868
37	0.6162010062
38	0.6132166441
39	0.6100554
40	0.6067113151
41	0.6064527349
42	0.6061210287
43	0.6058320795
44	0.6054786291
45	0.6041900663
46	0.6039783723
47	0.6036684105
48	0.6011605951
49	0.5997129744
50	0.5972958476
51	0.594988279
52	0.5948185579
53	0.5945769654
54	0.5942840437
55	0.591586331
56	0.5911217542
57	0.5897821758
58	0.5864960584
59	0.5862101409
60	0.5837890416
61	0.5836028555
62	0.5833977475
63	0.5804527972
64	0.5782559366
65	0.5780545922
66	0.5757538709
67	0.5755720232
68	0.5733262901
69	0.5706754637
70	0.5686332704
71	0.5661837884
72	0.5649367281
73	0.5632827449
74	0.5611850931
75	0.5588660773
76	0.5587754409
77	0.5577131554
78	0.5561868159
79	0.5545765306
80	0.554508109
81	0.5534545526
82	0.5527333819
83	0.5526016612
84	0.5524539981
85	0.550383004
86	0.5488359132
87	0.5486900274
88	0.5477771299
89	0.5469385082
90	0.5468553464
91	0.5452474133
92	0.5435546457
93	0.5434977758
94	0.5432548766
95	0.5430885008
96	0.5423817044
97	0.5422619013
98	0.5410983163
99	0.5397122175
100	0.5381709287
101	0.5380557254
102	0.53787163
103	0.5365713587
104	0.5354303545
105	0.5351036663
106	0.5338454724
107	0.5325851877
108	0.532440295
109	0.5315074826
110	0.5305537098
111	0.5292257354
112	0.5282554976
113	0.5281523686
